waypoint1	waypoint2	distance_m	duration_s
Gulbarga	Lalguli Falls	403242	30591
Balmuri Falls	Lalguli Falls	430542	33400
Triveni Sangama	Lalguli Falls	1668905	114963
Sri Nimishambha Temple	Lalguli Falls	428308	32739
Bheemeshwari	Lalguli Falls	448428	30635
Shivanasamudra	Lalguli Falls	512218	34409
Kumara Parvatha	Lalguli Falls	419535	33470
Coorg	Hebbe Falls	237443	20832
Kalhatti Falls	Coorg	225078	18861
Kemmanagundi	Coorg	233755	19930
Mulliyana Giri	Coorg	193927	16853
Kudremukh	Coorg	207890	16647
Coorg	Chikamagalur	172382	14161
Sathodi Falls	Coorg	442861	34332
Coorg	Nandi Hills	302952	22575
Kodachadri	Coorg	308528	27067
Coorg	Biligiri Rangaswamy Temple, BR Hills	207084	17545
Anshi National Park	Coorg	466070	34171
Gudavi Bird Sanctuary	Coorg	366673	29136
Coorg	Kokkrebellur Pelicanry	181969	14402
Bhadra Wildlife Sanctuary	Coorg	247725	19752
Ranibennur Blackbuck Sanctuary	Coorg	357620	26368
Coorg	Dandeli Wildlife Sanctuary	488672	36810
Ranganathittu Bird Sanctuary	Coorg	121482	10329
Dubare Reserve Forest	Coorg	29282	3227
Daroji Bear Sanctuary	Coorg	442801	33366
Coorg	Bannerghatta National Park	254644	20000
Coorg	Rajiv Gandhi National Park	67657	6525
Adichunchanagiri Peacock Sanctuary	Coorg	181512	13998
Bandipur National Park	Coorg	199933	15528
Cauvery Wildlife Sanctuary	Coorg	275986	23144
Someshwara Wildlife Sanctuary	Coorg	215657	17720
Gokarna Beach	Coorg	378115	28270
Marwanthe Beach	Coorg	251955	19086
Coorg	Karwar Beach	417802	30577
Malpe Beach	Coorg	206487	16322
Coorg	Suratkal Beach	160928	13214
Coorg	Murdeshwar Beach	302835	22744
Dharmasthala Sri Manjunatha Swamy Temple	Coorg	138099	11463
Kukke Subrahmanya	Coorg	87195	7885
Murudeshwar Temple	Coorg	303170	22856
Basaveshwara Temple Basavakalyan	Coorg	785666	59185
Shree Kshethra Rajarajeshwari Temple,Polali	Coorg	138584	11453
Bylakuppe Budda Temple	Coorg	45647	4361
Coorg	Talakadu	168074	13902
Sri Veeranarayana Swamy Temple	Coorg	155567	13051
Sri Gavi Gangadeshwara Temple	Coorg	250463	19855
Coorg	Kotilingeshwara Temple	370371	26683
Krishna Temple Devasthan, Udupi	Coorg	202953	16126
Halebeedu Hoysaleswara Temple	Coorg	143592	12153
Bidar	Coorg	949852	57929
Bangalore Palace	Coorg	273657	19810
